Epoch: 90/500, Train Loss=0.6126619577, Val Loss=0.6876076687
Epoch: 91/500, Train Loss=0.5837171674, Val Loss=0.6464869806
Epoch: 92/500, Train Loss=0.6038142443, Val Loss=0.6559984116
Epoch: 93/500, Train Loss=0.5337518454, Val Loss=0.661680108
Epoch: 94/500, Train Loss=0.5629066229, Val Loss=0.6382276813
Epoch: 95/500, Train Loss=0.5075272918, Val Loss=0.6454348422
Epoch: 96/500, Train Loss=0.5809849501, Val Loss=0.6139967044
Epoch: 97/500, Train Loss=0.5332863927, Val Loss=0.6518138817
Epoch: 98/500, Train Loss=0.5640848279, Val Loss=0.5995418742
Epoch: 99/500, Train Loss=0.6401052475, Val Loss=0.6265933769
Epoch: 100/500, Train Loss=0.567416966, Val Loss=0.6220525673
Epoch: 101/500, Train Loss=0.5190877318, Val Loss=0.6179544386
Epoch: 102/500, Train Loss=0.5540156364, Val Loss=0.6124312934
Epoch: 103/500, Train Loss=0.5817583799, Val Loss=0.6198689143
Epoch: 104/500, Train Loss=0.5710700154, Val Loss=0.6410832689
Epoch: 105/500, Train Loss=0.5603108406, Val Loss=0.6389982445
Epoch: 106/500, Train Loss=0.5423203707, Val Loss=0.6180907545
Epoch: 107/500, Train Loss=0.558337152, Val Loss=0.6064132282
Epoch: 108/500, Train Loss=0.5340900421, Val Loss=0.6538984208
Epoch: 109/500, Train Loss=0.525688529, Val Loss=0.5743430541
Epoch: 110/500, Train Loss=0.5692515373, Val Loss=0.6054200218
Epoch: 111/500, Train Loss=0.4999032617, Val Loss=0.5952139043
Epoch: 112/500, Train Loss=0.5394917727, Val Loss=0.6120248437
Epoch: 113/500, Train Loss=0.5535886884, Val Loss=0.5983592385
Epoch: 114/500, Train Loss=0.5165271759, Val Loss=0.5927607843
Epoch: 115/500, Train Loss=0.5612927675, Val Loss=0.584634199
Epoch: 116/500, Train Loss=0.5314192772, Val Loss=0.5819708563
Epoch: 117/500, Train Loss=0.5504616499, Val Loss=0.6070579177
Epoch: 118/500, Train Loss=0.5172232985, Val Loss=0.5958714201
Epoch: 119/500, Train Loss=0.5574492812, Val Loss=0.6111043067
Epoch: 120/500, Train Loss=0.5111647844, Val Loss=0.584478296
Epoch: 121/500, Train Loss=0.4697006941, Val Loss=0.578484135
Epoch: 122/500, Train Loss=0.5283780098, Val Loss=0.5843412848
Epoch: 123/500, Train Loss=0.4945180416, Val Loss=0.5960360538
Epoch: 124/500, Train Loss=0.4986612797, Val Loss=0.5954872143
Epoch: 125/500, Train Loss=0.4894147515, Val Loss=0.5704849533
Epoch: 126/500, Train Loss=0.5288640261, Val Loss=0.5842468653
Epoch: 127/500, Train Loss=0.5895403028, Val Loss=0.5738450118
Epoch: 128/500, Train Loss=0.4918763041, Val Loss=0.5690612225
Epoch: 129/500, Train Loss=0.5377613306, Val Loss=0.5650086942
Epoch: 130/500, Train Loss=0.5105168819, Val Loss=0.5945586591
Epoch: 131/500, Train Loss=0.4803289771, Val Loss=0.5806325958
Epoch: 132/500, Train Loss=0.4633033872, Val Loss=0.5758022382
